inside monitor script.
num jobs started/finished: 94 0
Waiting. Currently 0 / 94 
Waiting. Currently 0 / 94 
Waiting. Currently 0 / 94 
Waiting. Currently 0 / 95 
Waiting. Currently 0 / 95 
Waiting. Currently 0 / 95 
Waiting. Currently 0 / 95 
Waiting. Currently 0 / 95 
Waiting. Currently 0 / 95 
Waiting. Currently 0 / 95 
Waiting. Currently 0 / 95 
Waiting. Currently 0 / 95 
Waiting. Currently 0 / 95 
Waiting. Currently 0 / 95 
Waiting. Currently 0 / 95 
Waiting. Currently 0 / 95 
Waiting. Currently 0 / 95 
Waiting. Currently 0 / 95 
Waiting. Currently 0 / 95 
Waiting. Currently 0 / 95 
Waiting. Currently 0 / 95 
Waiting. Currently 0 / 95 
Waiting. Currently 0 / 95 
Waiting. Currently 0 / 95 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 97 
Waiting. Currently 0 / 98 
Waiting. Currently 0 / 98 
Waiting. Currently 0 / 98 
Waiting. Currently 0 / 98 
Waiting. Currently 0 / 98 
Waiting. Currently 0 / 98 
Waiting. Currently 0 / 98 
Waiting. Currently 0 / 98 
Waiting. Currently 0 / 98 
Waiting. Currently 0 / 98 
Waiting. Currently 0 / 98 
Waiting. Currently 0 / 98 
Waiting. Currently 0 / 98 
Waiting. Currently 0 / 98 
Waiting. Currently 0 / 98 
Waiting. Currently 0 / 98 
Waiting. Currently 0 / 98 
Waiting. Currently 0 / 98 
Waiting. Currently 0 / 98 
Waiting. Currently 0 / 98 
Waiting. Currently 0 / 98 
Waiting. Currently 0 / 98 
