inside monitor script.
num jobs started/finished: 99 0
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
Waiting. Currently 0 / 99 
